Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Chekoutpet,Edge Chromium 124,,,24-04-2024 18:58:25,24-04-2024 18:58:48,22.562s,PASSED
,,,,,,,
Test Cases/Jpet/Checkout_Pet,Edge Chromium 124,,,24-04-2024 18:58:26,24-04-2024 18:58:48,22.375s,PASSED
"callTestCase(findTestCase(""Jpet/JpetLogin""), [:], STOP_ON_FAILURE)",Edge Chromium 124,,,24-04-2024 18:58:26,24-04-2024 18:58:40,13.967s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/img""))",Edge Chromium 124,,,24-04-2024 18:58:40,24-04-2024 18:58:41,0.811s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH"")",Edge Chromium 124,,,24-04-2024 18:58:41,24-04-2024 18:58:41,0.281s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/a_FI-SW-02""))",Edge Chromium 124,,,24-04-2024 18:58:41,24-04-2024 18:58:42,0.964s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 124,,,24-04-2024 18:58:42,24-04-2024 18:58:43,0.728s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/input_Sub Total 18.50_updateCartQuantities""))",Edge Chromium 124,,,24-04-2024 18:58:43,24-04-2024 18:58:43,0.662s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/a_Proceed to Checkout""))",Edge Chromium 124,,,24-04-2024 18:58:43,24-04-2024 18:58:45,1.174s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/th_Payment Details""), 0)",Edge Chromium 124,,,24-04-2024 18:58:45,24-04-2024 18:58:45,0.367s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/input_Ship to different address_newOrder""))",Edge Chromium 124,,,24-04-2024 18:58:45,24-04-2024 18:58:46,0.839s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/a_Confirm""))",Edge Chromium 124,,,24-04-2024 18:58:46,24-04-2024 18:58:47,0.744s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/li_Thank you, your order has been submitted""), 0)",Edge Chromium 124,,,24-04-2024 18:58:47,24-04-2024 18:58:47,0.385s,PASSED
"click(findTestObject(""Object Repository/Pet_Checkout/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 124,,,24-04-2024 18:58:47,24-04-2024 18:58:48,0.713s,PASSED
closeBrowser(),Edge Chromium 124,,,24-04-2024 18:58:48,24-04-2024 18:58:48,0.368s,PASSED
