Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Visual_TestingTS1,Edge Chromium 124,,,28-04-2024 12:24:15,28-04-2024 12:24:25,10.860s,PASSED
,,,,,,,
Test Cases/Visual_Testing/Visual_TestingCheckpoint1,Edge Chromium 124,,,28-04-2024 12:24:15,28-04-2024 12:24:25,10.650s,PASSED
"openBrowser("""")",Edge Chromium 124,,,28-04-2024 12:24:15,28-04-2024 12:24:19,4.011s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 124,,,28-04-2024 12:24:19,28-04-2024 12:24:21,1.895s,PASSED
"click(findTestObject(""Object Repository/Visual_TEsting1/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 124,,,28-04-2024 12:24:21,28-04-2024 12:24:23,1.889s,PASSED
"takeScreenshotAsCheckpoint(""mypic"")",Edge Chromium 124,,,28-04-2024 12:24:23,28-04-2024 12:24:24,1.345s,PASSED
"click(findTestObject(""Object Repository/Visual_TEsting1/Page_JPetStore Demo/img""))",Edge Chromium 124,,,28-04-2024 12:24:24,28-04-2024 12:24:25,0.785s,PASSED
closeBrowser(),Edge Chromium 124,,,28-04-2024 12:24:25,28-04-2024 12:24:25,0.424s,PASSED
