Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VisualCP5,Edge Chromium 124,,,28-04-2024 13:07:01,28-04-2024 13:07:11,9.820s,PASSED
,,,,,,,
Test Cases/Visual_Testing/VisualTesting5,Edge Chromium 124,,,28-04-2024 13:07:01,28-04-2024 13:07:11,9.638s,PASSED
"openBrowser("""")",Edge Chromium 124,,,28-04-2024 13:07:02,28-04-2024 13:07:05,3.137s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 124,,,28-04-2024 13:07:05,28-04-2024 13:07:06,0.903s,PASSED
"click(findTestObject(""Object Repository/VisualTesting5/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 124,,,28-04-2024 13:07:06,28-04-2024 13:07:07,1.577s,PASSED
"click(findTestObject(""Object Repository/VisualTesting5/Page_JPetStore Demo/img""))",Edge Chromium 124,,,28-04-2024 13:07:07,28-04-2024 13:07:08,0.605s,PASSED
"click(findTestObject(""Object Repository/VisualTesting5/Page_JPetStore Demo/a_RP-SN-01""))",Edge Chromium 124,,,28-04-2024 13:07:08,28-04-2024 13:07:09,0.615s,PASSED
"click(findTestObject(""Object Repository/VisualTesting5/Page_JPetStore Demo/a_EST-11""))",Edge Chromium 124,,,28-04-2024 13:07:09,28-04-2024 13:07:10,0.922s,PASSED
"takeScreenshotAsCheckpoint(""Reptiles"")",Edge Chromium 124,,,28-04-2024 13:07:10,28-04-2024 13:07:10,0.720s,PASSED
"click(findTestObject(""Object Repository/VisualTesting5/Page_JPetStore Demo/img_1""))",Edge Chromium 124,,,28-04-2024 13:07:10,28-04-2024 13:07:11,0.588s,PASSED
closeBrowser(),Edge Chromium 124,,,28-04-2024 13:07:11,28-04-2024 13:07:11,0.283s,PASSED
